key	title	kind	era_id	trigger_ref	repeat_policy	skip_policy	location_policy	participant_policy	authored_ref	source_ref	voice_policy	status	note	sort
scene.alcohol.first_recovery	Закрытие первого квеста	cutscene_world	1	quest:quest_e1_21.close; fact:alcoholism_back_to_holiday_range	once	skippable	world	group	rpg/manual/texts/alcoholism-quest-scenes.md#закрытие-первого-квеста	rpg/manual/texts/alcoholism-quest-scenes.md#закрытие-первого-квеста	engine_allowed	text_ready		600
scene.alcohol.empty_place	Село замечает пустое место	cutscene_world	2	quest:quest_e2_23.open; fact:third_week_absent	once	stages	world	group	rpg/manual/texts/alcoholism-quest-scenes.md#село-замечает-пустое-место	rpg/manual/texts/alcoholism-quest-scenes.md#село-замечает-пустое-место	engine_allowed	text_ready		610
scene.alcohol.returned_to_work	Человек вышел сам	cutscene_world	2	quest:quest_e2_23.close; fact:resident_returned_to_work	once	skippable	incident	group	rpg/manual/texts/alcoholism-quest-scenes.md#если-человек-вышел-сам	rpg/manual/texts/alcoholism-quest-scenes.md#если-человек-вышел-сам	engine_allowed	text_ready		620
scene.alcohol.district_took	Район увёз	cutscene_world	2	fact:resident_sent_away	once	skippable	incident	group	rpg/manual/texts/alcoholism-quest-scenes.md#если-район-увёз	rpg/manual/texts/alcoholism-quest-scenes.md#если-район-увёз	engine_allowed	text_ready		630
scene.alcohol.return_after_two_years	Возвращение через два года	cutscene_world	2	quest:quest_e2_23.close; fact:resident_returned_after_two_years	once	stages	world	group	rpg/manual/texts/alcoholism-quest-scenes.md#возвращение-через-два-года	rpg/manual/texts/alcoholism-quest-scenes.md#возвращение-через-два-года	engine_allowed	text_ready		640
scene.police.first_meeting	Первая встреча с Пантелеевым	cutscene_heads	1	quest:quest_perk_01.open; fact:constable_post_active	once	skippable	unit	fixed_person	rpg/manual/texts/perk-entry-quests.md#первая-встреча	rpg/manual/texts/perk-entry-quests.md#первая-встреча	engine_allowed	text_ready		650
scene.police.first_rumor	Первый слух	cutscene_heads		fact:first_rumor_after_acquaintance	once	skippable	office	fixed_person	rpg/manual/texts/perk-entry-quests.md#первый-слух	rpg/manual/texts/perk-entry-quests.md#первый-слух	engine_allowed	text_ready		660
scene.perk.owners_eye	Заметно — не число	cutscene_heads	1	quest:quest_perk_02.close; fact:accountant_active	once	skippable	office	role_holder	rpg/manual/texts/perk-entry-quests.md#заметно--не-число	rpg/manual/texts/perk-entry-quests.md#заметно--не-число	engine_allowed	text_ready		670
scene.police.neighborly	По-соседски — бумага подождёт	cutscene_heads		fact:first_prevented_minor_offense	once	skippable	unit	fixed_person	rpg/manual/characters/panteleev.md#по-соседски--бумага-подождёт	rpg/manual/characters/panteleev.md#по-соседски--бумага-подождёт	engine_allowed	text_ready		680
scene.police.own_man	Свой человек — раньше бумаги	cutscene_heads		fact:first_early_inspection_warning	once	skippable	office	fixed_person	rpg/manual/characters/panteleev.md#свой-человек--раньше-бумаги	rpg/manual/characters/panteleev.md#свой-человек--раньше-бумаги	engine_allowed	text_ready		690
scene.police.common_cause	Общее дело — направление без приговора	cutscene_heads		fact:first_tip_accepted	once	skippable	world	fixed_person	rpg/manual/characters/panteleev.md#общее-дело--направление-без-приговора	rpg/manual/characters/panteleev.md#общее-дело--направление-без-приговора	engine_allowed	text_ready		700
scene.police.cover	Прикроет — чужая папка	cutscene_heads		fact:first_allowed_minor_cover	once	skippable	office	fixed_person	rpg/manual/characters/panteleev.md#прикроет--чужая-папка	rpg/manual/characters/panteleev.md#прикроет--чужая-папка	engine_allowed	text_ready		710
scene.police.last_day	Последний рабочий день	cutscene_world		fact:panteleev_last_workday	once	skippable	unit	fixed_person	rpg/manual/characters/panteleev.md#последний-рабочий-день	rpg/manual/characters/panteleev.md#последний-рабочий-день	engine_allowed	text_ready		720
scene.police.new_constable	Новый участковый	cutscene_heads		fact:new_constable_first_day	once	skippable	unit	role_holder	rpg/manual/characters/panteleev.md#новый-участковый	rpg/manual/characters/panteleev.md#новый-участковый	engine_allowed	text_ready		730
scene.police.successor_first_case	Первое настоящее дело сменщика	cutscene_heads		fact:new_constable_first_real_case	once	skippable	unit	role_holder	rpg/manual/characters/panteleev.md#первое-настоящее-дело-сменщика	rpg/manual/characters/panteleev.md#первое-настоящее-дело-сменщика	engine_allowed	text_ready		740
scene.organization.party_organizer_intro	Первое появление парторга	cutscene_heads	1	fact:first_party_organizer_business	once	skippable	world	role_holder	rpg/manual/characters/organization-voices.md#голос-парторга	rpg/manual/characters/organization-voices.md#голос-парторга	engine_allowed	text_ready	Авторский фрагмент «Первое появление в роли» внутри раздела.	750
scene.organization.party_organizer_change	Смена парторга	cutscene_heads		fact:party_organizer_changed	repeatable	skippable	world	role_holder	rpg/manual/characters/organization-voices.md#редкая-смена-парторга	rpg/manual/characters/organization-voices.md#редкая-смена-парторга	engine_allowed	text_ready	Дублирующийся anchor уточняется заголовком.	760
scene.organization.komsomol_organizer_intro	Первое появление комсорга	cutscene_heads	1	fact:first_komsomol_organizer_business	once	skippable	world	role_holder	rpg/manual/characters/organization-voices.md#голос-комсорга	rpg/manual/characters/organization-voices.md#голос-комсорга	engine_allowed	text_ready	Авторский фрагмент «Первое появление в роли» внутри раздела.	770
scene.organization.komsomol_organizer_change	Смена комсорга	cutscene_heads		fact:komsomol_organizer_changed	repeatable	skippable	world	role_holder	rpg/manual/characters/organization-voices.md#смена-комсорга	rpg/manual/characters/organization-voices.md#смена-комсорга	engine_allowed	text_ready	Дублирующийся anchor уточняется заголовком.	780
scene.order.watchman_first_round	Первый обход сторожа	cutscene_heads		fact:first_watchman_shift	once	skippable	unit	role_holder	rpg/manual/characters/watch-and-patrol.md#первый-обход-сторожа	rpg/manual/characters/watch-and-patrol.md#первый-обход-сторожа	engine_allowed	text_ready		790
scene.order.patrol_first_evening	Первый вечер дружины	cutscene_heads		fact:first_voluntary_patrol	once	skippable	incident	group	rpg/manual/characters/watch-and-patrol.md#первый-вечер-дружины	rpg/manual/characters/watch-and-patrol.md#первый-вечер-дружины	engine_allowed	text_ready		800
scene.order.patrol_caught_relative	Поймали своего	cutscene_heads		fact:patrol_caught_relative_minor_offense	first_time	skippable	incident	group	rpg/manual/characters/watch-and-patrol.md#поймали-своего	rpg/manual/characters/watch-and-patrol.md#поймали-своего	engine_allowed	text_ready		810
scene.secretary.appointment	Первое назначение секретаря	cutscene_heads	2	fact:village_secretary_appointed	first_time	skippable	office	role_holder	rpg/manual/characters/village-secretary.md#первое-назначение--книги-ещё-не-село	rpg/manual/characters/village-secretary.md#первое-назначение--книги-ещё-не-село	engine_allowed	text_ready		820
scene.secretary.first_mismatch	Первый несовпавший двор	cutscene_heads	2	fact:first_household_register_mismatch	once	skippable	world	role_holder	rpg/manual/characters/village-secretary.md#первый-несовпавший-двор	rpg/manual/characters/village-secretary.md#первый-несовпавший-двор	engine_allowed	text_ready		830
scene.secretary.acts_to_registry	Акты переходят в ЗАГС	cutscene_heads	2	fact:registry_office_started	once	skippable	office	role_holder	rpg/manual/characters/village-secretary.md#акты-переходят-в-загс	rpg/manual/characters/village-secretary.md#акты-переходят-в-загс	engine_allowed	text_ready		840
scene.secretary.village_branch	Одна строка получает комнату	cutscene_heads	2	fact:village_council_secretary_appointed	repeatable	skippable	unit	role_holder	rpg/manual/characters/village-secretary.md#филиал-в-деревне--одна-строка-получает-комнату	rpg/manual/characters/village-secretary.md#филиал-в-деревне--одна-строка-получает-комнату	engine_allowed	text_ready		850
scene.secretary.tax_books	Какую правду подписывать	cutscene_heads	3	event:event_16; fact:household_book_policy_applied	once	skippable	office	role_holder	rpg/manual/characters/village-secretary.md#эпоха-iii--какую-правду-подписывать	rpg/manual/characters/village-secretary.md#эпоха-iii--какую-правду-подписывать	engine_allowed	text_ready		860
scene.secretary.replacement	Книги не передают память	cutscene_heads		fact:village_secretary_changed	repeatable	skippable	office	role_holder	rpg/manual/characters/village-secretary.md#смена-секретаря--книги-не-передают-память	rpg/manual/characters/village-secretary.md#смена-секретаря--книги-не-передают-память	engine_allowed	text_ready		870
scene.delegation.science_proposal	По науке: предложение	dialogue	2	quest:quest_e2_20.open	once	mandatory	office	role_holder	rpg/manual/quests/delegation.md#предложение	rpg/manual/quests/delegation.md#предложение	engine_allowed	text_ready	Два авторских ответа.	880
scene.delegation.give_authority	Дать полномочия	dialogue	2	quest:quest_e2_10.open; fact:repeated_approval_delay	once	mandatory	office	role_holder	rpg/manual/quests/delegation.md#появление	rpg/manual/quests/delegation.md#появление	engine_allowed	text_ready	Два авторских ответа.	890
scene.delegation.right_to_error	Право на ошибку	dialogue	2	quest:quest_e2_12.open; fact:first_correctable_autonomy_error	once	mandatory	office	role_holder	rpg/manual/quests/delegation.md#основной-вариант-агроном	rpg/manual/quests/delegation.md#основной-вариант-агроном	engine_allowed	text_ready	Четыре ответа; варианты специалистов используют ту же грамматику.	900
scene.delegation.work_status	Рабочие реплики делегирования	background		fact:delegation_status_changed	repeatable	skippable	unit	role_holder	rpg/manual/quests/delegation.md#что-слышит-игрок-между-узлами	rpg/manual/quests/delegation.md#что-слышит-игрок-между-узлами	engine_allowed	text_ready	Озвучивает существующий уровень, не пишет состояние.	910
scene.family.before_distribution	До выдачи	dialogue	1	fact:eligible_family_before_distribution	once	mandatory	office	procedural	rpg/manual/quests/family-thread.md#разговор-до-выдачи	rpg/manual/quests/family-thread.md#разговор-до-выдачи	engine_allowed	text_ready	Четыре авторских ответа.	920
scene.family.place_in_new_village	Место в новом селе	dialogue	2	fact:one_house_two_real_applicants	once	mandatory	office	procedural	rpg/manual/quests/family-thread.md#вариант-а--место-в-новом-селе	rpg/manual/quests/family-thread.md#вариант-а--место-в-новом-селе	engine_allowed	text_ready	Альтернатива сцене stay_or_leave.	930
scene.family.stay_or_leave	Остаться или уехать	dialogue	2	fact:young_family_member_has_real_departure_option	once	mandatory	office	procedural	rpg/manual/quests/family-thread.md#вариант-б--остаться-или-уехать	rpg/manual/quests/family-thread.md#вариант-б--остаться-или-уехать	engine_allowed	text_ready	Альтернатива сцене place_in_new_village.	940
scene.family.freedom_to_leave_decision	Свобода уйти: решение	dialogue	3	scene:scene.family.freedom_to_leave	once	mandatory	world	procedural	rpg/manual/quests/family-thread.md#разговор-теперь-без-подписи	rpg/manual/quests/family-thread.md#разговор-теперь-без-подписи	engine_allowed	text_ready	Четыре авторских ответа после модельного пролога.	950
scene.family.fate_returns	Короткие возвраты семейных судеб	background		fact:recorded_family_outcome_returns	repeatable	skippable	world	procedural	rpg/manual/quests/family-thread.md#короткие-возвраты-для-других-судеб	rpg/manual/quests/family-thread.md#короткие-возвраты-для-других-судеб	engine_allowed	text_ready	Не отдельные квесты.	960
scene.night_hunt.distiller_report	Кто гонит: дневной повод	dialogue	1	quest:quest_e1_22.open	once	mandatory	office	procedural	rpg/manual/texts/night-hunt-scenes.md#кто-гонит--пропавшее-сырьё	rpg/manual/texts/night-hunt-scenes.md#кто-гонит--пропавшее-сырьё	engine_allowed	text_ready	Два ответа: взять ночь или отложить.	970
scene.night_hunt.fishers_report	Пустые сети: дневной повод	dialogue	1	quest:quest_e1_23.open	once	mandatory	office	role_holder	rpg/manual/texts/night-hunt-scenes.md#пустые-сети--свет-у-берега	rpg/manual/texts/night-hunt-scenes.md#пустые-сети--свет-у-берега	engine_allowed	text_ready	Два варианта повода ведут к одному окну.	980
